NodeLabel                                      	NodeId	  Des1	  Des2	         RelTime	 StdErr(RelTime)	            Rate	         DivTime	        CI_Lower	        CI_Upper	 CI_Lower_No_Constraint	 CI_Upper_No_Constraint	         MinTime	         MaxTime	Data Coverage
COS36386 bin19                                 	     1	     -	     -	               -	               -	        3.923494	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA000024305 1 yang                            	     2	     -	     -	               -	               -	        1.027372	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA000246735 1 yang                            	     3	     -	     -	               -	               -	        1.631191	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA000402075 1                                 	     4	     -	     -	               -	               -	        2.659606	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA000698785 1 yang                            	     5	     -	     -	               -	               -	        1.174265	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA000802205 2 yang                            	     6	     -	     -	               -	               -	        2.203741	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA001443365 1                                 	     7	     -	     -	               -	               -	        1.412067	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA001917865 1 yang                            	     8	     -	     -	               -	               -	        1.685765	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA003056285 1 yang                            	     9	     -	     -	               -	               -	        0.958987	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA003724255 1                                 	    10	     -	     -	               -	               -	        4.049186	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA005240025 1                                 	    11	     -	     -	               -	               -	        3.357548	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA005877205 1                                 	    12	     -	     -	               -	               -	        1.559932	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA007280335 1                                 	    13	     -	     -	               -	               -	        1.322058	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA008080815 1                                 	    14	     -	     -	               -	               -	        3.429457	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA009840065 1                                 	    15	     -	     -	               -	               -	        8.601870	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA009843815 1                                 	    16	     -	     -	               -	               -	        5.713242	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA013330055 1                                 	    17	     -	     -	               -	               -	        0.995837	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA013867335 1                                 	    18	     -	     -	               -	               -	        2.022671	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA016126025 1                                 	    19	     -	     -	               -	               -	        5.156097	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA016200035 1                                 	    20	     -	     -	               -	               -	        1.568274	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA016276965 1                                 	    21	     -	     -	               -	               -	        2.990302	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA016838825 1                                 	    22	     -	     -	               -	               -	        1.698434	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA016838845 1                                 	    23	     -	     -	               -	               -	        1.825575	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA020027255 1                                 	    24	     -	     -	               -	               -	        5.690566	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA020027325 1                                 	    25	     -	     -	               -	               -	        6.270773	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA020431985 1                                 	    26	     -	     -	               -	               -	        2.764444	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA020431995 1                                 	    27	     -	     -	               -	               -	        4.745649	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA021323705 1                                 	    28	     -	     -	               -	               -	        1.140194	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA021325595 1                                 	    29	     -	     -	               -	               -	        1.895987	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA021325615 1                                 	    30	     -	     -	               -	               -	        2.606611	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA022562615 1                                 	    31	     -	     -	               -	               -	        4.168765	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA022564515 1                                 	    32	     -	     -	               -	               -	        2.586743	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA022567895 1                                 	    33	     -	     -	               -	               -	        1.720051	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA025699025 1                                 	    34	     -	     -	               -	               -	        2.609949	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA026706865 1                                 	    35	     -	     -	               -	               -	        4.353230	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA026712925 1                                 	    36	     -	     -	               -	               -	        5.516385	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA028066025 1                                 	    37	     -	     -	               -	               -	       11.908453	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA028345295 1                                 	    38	     -	     -	               -	               -	        2.484414	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA028819115 1                                 	    39	     -	     -	               -	               -	        7.137906	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA028866895 1                                 	    40	     -	     -	               -	               -	        3.372207	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA029863665 1                                 	    41	     -	     -	               -	               -	        4.362866	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA029864115 1                                 	    42	     -	     -	               -	               -	        3.319182	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA029864235 1                                 	    43	     -	     -	               -	               -	        3.114646	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA029948415 1                                 	    44	     -	     -	               -	               -	        4.453905	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA030041535 1                                 	    45	     -	     -	               -	               -	        1.648658	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA030697975 1                                 	    46	     -	     -	               -	               -	        1.455762	               -	               -	               -	                      -	                      -	               -	               -	            -
GCA958295735 1                                 	    47	     -	     -	               -	               -	        4.747829	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000007005 1 yang                            	    48	     -	     -	               -	               -	        1.033393	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000007065 1 yang                            	    49	     -	     -	               -	               -	        0.918271	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000007185 1 yang                            	    50	     -	     -	               -	               -	        0.833343	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000007225 1 yang                            	    51	     -	     -	               -	               -	        1.498728	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000008265 1 yang                            	    52	     -	     -	               -	               -	        1.641004	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000011185 1 yang                            	    53	     -	     -	               -	               -	        1.600743	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000011205 1 yang                            	    54	     -	     -	               -	               -	        1.251119	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000012285 1 yang                            	    55	     -	     -	               -	               -	        1.755468	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000015205 1 yang                            	    56	     -	     -	               -	               -	        1.314662	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000015225 1 yang                            	    57	     -	     -	               -	               -	        1.009207	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000015765 1 yang                            	    58	     -	     -	               -	               -	        1.310325	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000016385 1 yang                            	    59	     -	     -	               -	               -	        2.084237	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000016605 1 yang                            	    60	     -	     -	               -	               -	        2.003126	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000018305 1 yang                            	    61	     -	     -	               -	               -	        1.397924	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000019605 1 yang                            	    62	     -	     -	               -	               -	        1.326359	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000019625 1 [*]                             	    63	     -	     -	               -	               -	        1.000000	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000019965 1 [*]                             	    64	     -	     -	               -	               -	        1.000000	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000020905 1 yang                            	    65	     -	     -	               -	               -	        1.396818	               -	               -	               -	                      -	                      -	               -	               -	            -
GCF000021565 1 [*]                             	    66	     -	     -	               -	               -	        1.000000	               -	               -	               -	                      -	                      -	               -	               -	            -
