Sample	color_by	shape_by
M1_PA_75_DeltaLL_100_clock2_nsample500000_out.txt	M1_DeltaLL_100	IR
M1_PA_75_DeltaLL_100_clock3_nsample500000_out.txt	M1_DeltaLL_100	AR
M1_PA_75_DeltaLL_50_clock2_nsample500000_out.txt	M1_DeltaLL_50	IR
M1_PA_75_DeltaLL_50_clock3_nsample500000_out.txt	M1_DeltaLL_50	AR
M1_PA_75_DeltaLL_75_clock2_nsample500000_out.txt	M1_DeltaLL_75	IR
M1_PA_75_DeltaLL_75_clock3_nsample500000_out.txt	M1_DeltaLL_75	AR
M2_PA_75_DeltaLL_100_clock2_nsample500000_out.txt	M2_DeltaLL_100	IR
M2_PA_75_DeltaLL_100_clock3_nsample500000_out.txt	M2_DeltaLL_100	AR
M2_PA_75_DeltaLL_75_clock2_nsample500000_out.txt	M2_DeltaLL_75	IR
M2_PA_75_DeltaLL_75_clock3_nsample500000_out.txt	M2_DeltaLL_75	AR
M3_PA_75_DeltaLL_100_clock2_nsample500000_out.txt	M3_DeltaLL_100	IR
M3_PA_75_DeltaLL_100_clock3_nsample500000_out.txt	M3_DeltaLL_100	AR
M3_PA_75_DeltaLL_75_clock2_nsample500000_out.txt	M3_DeltaLL_75	IR
M3_PA_75_DeltaLL_75_clock3_nsample500000_out.txt	M3_DeltaLL_75	AR
M4_PA_75_DeltaLL_100_clock2_nsample500000_out.txt	M4_DeltaLL_100	IR
M4_PA_75_DeltaLL_100_clock3_nsample500000_out.txt	M4_DeltaLL_100	AR
M4_PA_75_DeltaLL_75_clock2_nsample500000_out.txt	M4_DeltaLL_75	IR
M4_PA_75_DeltaLL_75_clock3_nsample500000_out.txt	M4_DeltaLL_75	AR
